EmployeeID,Age,Gender,Department,City,Experience,Salary,PerformanceScore,TrainingHours,Status
EMP0066,26,Male,Sales,Hyderabad,15.2,79853.82,3,39.7,Active
EMP0067,47,Female,IT,Mumbai,1.2,39548.51,3,33.1,On Leave
EMP0068,29,Female,Marketing,Mumbai,4.5,54529.25,4,34.8,Inactive
EMP0069,51,Female,IT,Hyderabad,29.6,158472.93,2,43.4,Active
EMP0070,41,Male,Operations,Mumbai,29.0,138344.91,4,22.0,Active
EMP0071,46,Female,Marketing,Coimbatore,0.1,32845.54,4,27.4,Active
EMP0072,60,Female,IT,Coimbatore,28.6,143094.33,3,37.5,Active
EMP0073,33,Male,IT,Mumbai,19.2,100196.74,4,41.6,Inactive
EMP0074,43,Male,Marketing,Hyderabad,26.0,130836.12,1,28.9,Inactive
EMP0075,40,Female,Sales,Pune,13.6,91658.66,5,6.8,Inactive
EMP0076,57,Male,Sales,Mumbai,15.5,87633.28,2,61.7,Active
EMP0077,48,Female,Marketing,Mumbai,14.7,82689.66,4,21.7,Active
EMP0078,37,Female,IT,Mumbai,20.0,115127.03,3,17.0,Active
EMP0079,48,Female,HR,Mumbai,4.2,44206.24,4,13.7,Active
EMP0080,22,Female,IT,Hyderabad,0.9,45620.94,3,33.8,Active
EMP0081,45,Female,Operations,Pune,9.2,82997.77,2,29.3,Inactive
EMP0082,26,Female,Sales,Pune,21.1,108873.79,3,13.8,Inactive
EMP0083,31,Male,HR,Chennai,6.1,51483.28,3,7.1,On Leave
EMP0084,58,Male,IT,Mumbai,20.2,108519.67,4,13.7,Inactive
EMP0085,26,Male,HR,Mumbai,29.1,140803.54,5,35.3,Active
EMP0086,31,Female,HR,Chennai,2.8,41350.21,3,23.0,Active
EMP0087,34,Male,Sales,Pune,20.2,102505.02,3,8.6,Active
EMP0088,22,Male,Sales,Bengaluru,13.3,94120.43,1,13.1,Active
EMP0089,60,Male,Operations,Coimbatore,26.0,136356.82,3,21.1,Active
EMP0090,23,Female,Finance,Bengaluru,5.3,53746.61,3,25.1,Active
EMP0091,55,Female,IT,Pune,20.8,100867.68,3,17.2,Active
EMP0092,53,Female,Sales,Mumbai,25.1,132910.11,2,26.4,Active
EMP0093,44,Male,Marketing,Bengaluru,28.3,128572.96,3,33.1,Active
EMP0094,39,Female,Sales,Hyderabad,20.5,115075.0,5,18.4,Active
EMP0095,38,Female,Marketing,Hyderabad,14.9,71389.17,3,45.4,Active
EMP0096,44,Male,Finance,Chennai,18.5,111890.78,3,12.3,Active
EMP0097,55,Female,Finance,Pune,26.1,121660.62,4,10.4,Active
EMP0098,21,Male,Finance,Pune,17.1,105696.11,4,43.2,Inactive
EMP0099,56,Female,IT,Bengaluru,0.9,46264.18,3,3.1,Active
EMP0100,45,Male,IT,Mumbai,27.9,133018.48,4,14.9,Active
EMP0101,54,Male,IT,Pune,20.7,112193.71,4,17.0,Active
EMP0102,45,Female,Sales,Bengaluru,20.3,113540.55,1,33.0,On Leave
EMP0103,36,Male,HR,Bengaluru,6.5,56597.16,3,7.2,Active
EMP0104,54,Male,Finance,Coimbatore,19.8,113975.3,3,26.0,Inactive
EMP0105,49,Female,Operations,Coimbatore,11.8,91111.52,3,23.0,On Leave
EMP0106,39,Male,IT,Pune,19.5,98736.07,3,56.5,Inactive
EMP0107,43,Female,Finance,Bengaluru,3.2,64137.7,4,12.5,Active
EMP0108,39,Male,Marketing,Chennai,19.7,104784.85,2,30.2,Active
EMP0109,45,Female,IT,Chennai,30.0,140809.73,3,19.3,Active
EMP0110,36,Female,IT,Coimbatore,1.4,37257.49,3,22.3,Active
EMP0111,29,Male,HR,Pune,29.3,134037.04,3,14.4,Active
EMP0112,21,Female,IT,Mumbai,12.2,93073.2,4,32.3,Inactive
EMP0113,39,Female,Operations,Chennai,26.1,124329.61,3,36.4,Inactive
EMP0114,53,Female,Marketing,Chennai,23.5,129339.24,5,26.2,Active
EMP0115,54,Female,Sales,Coimbatore,17.0,84890.59,3,84.3,Active
EMP0116,36,Female,Operations,Coimbatore,22.2,111603.29,3,17.5,On Leave
EMP0117,60,Male,Marketing,Pune,26.4,117380.85,4,33.5,Active
EMP0118,38,Male,IT,Coimbatore,12.1,88259.06,3,47.5,Active
EMP0119,54,Female,Operations,Hyderabad,9.8,75395.1,2,29.3,Active
EMP0120,45,Male,Sales,Bengaluru,20.0,103633.91,4,38.0,Active
EMP0121,26,Male,Marketing,Chennai,24.2,98866.29,3,50.7,Active
EMP0122,41,Male,Operations,Hyderabad,22.9,115741.59,5,30.1,Active
EMP0123,26,Male,HR,Mumbai,23.9,120143.91,5,36.6,Active
EMP0124,52,Male,IT,Hyderabad,13.1,92084.36,3,12.7,Active
EMP0125,59,Female,IT,Pune,24.5,138636.26,3,2.8,Active
EMP0126,51,Male,Finance,Mumbai,3.6,44031.57,3,30.4,Active
EMP0127,30,Male,Marketing,Mumbai,16.3,97491.73,3,18.1,Active
EMP0128,50,Female,Operations,Coimbatore,0.2,44240.06,4,19.8,Active
EMP0129,38,Female,IT,Hyderabad,9.7,62721.3,4,18.2,Active
EMP0130,44,Male,Finance,Pune,11.0,81057.21,3,22.8,Active
EMP0131,29,Male,Finance,Chennai,11.9,77616.56,1,25.2,Active
EMP0132,51,Female,IT,Coimbatore,20.9,115497.82,3,33.3,On Leave
EMP0133,35,Female,IT,Hyderabad,11.7,86731.41,3,28.9,Inactive
EMP0134,24,Female,HR,Chennai,13.5,76352.17,4,8.6,On Leave
EMP0135,60,Female,Operations,Hyderabad,7.1,53444.34,2,36.8,Active
EMP0136,29,Female,HR,Coimbatore,11.2,72473.22,4,61.1,Active
EMP0137,29,Male,Finance,Chennai,6.8,55102.03,4,18.7,On Leave
EMP0138,46,Female,Sales,Coimbatore,2.2,36013.4,4,30.5,Inactive
EMP0139,24,Male,HR,Hyderabad,18.1,101784.99,3,28.7,Inactive
EMP0140,37,Female,Operations,Mumbai,20.0,94809.65,4,6.6,Active
EMP0141,36,Female,Operations,Bengaluru,18.6,104430.5,4,19.5,Active
EMP0142,35,Male,IT,Mumbai,13.9,95350.73,4,9.4,Active
EMP0143,55,Male,Finance,Coimbatore,11.4,66093.55,3,21.8,Active
EMP0144,25,Male,HR,Coimbatore,25.9,118229.48,3,19.2,Active
EMP0145,25,Male,HR,Coimbatore,15.6,97152.88,4,26.9,Active
EMP0146,40,Female,IT,Chennai,14.4,85550.68,2,15.8,Active
EMP0147,35,Male,Sales,Pune,0.8,36084.77,3,4.5,Active
EMP0148,38,Female,Finance,Coimbatore,10.2,79396.49,5,12.1,Active
EMP0149,22,Male,IT,Mumbai,11.4,89167.12,1,15.0,Inactive
EMP0150,49,Female,IT,Bengaluru,12.0,82987.69,3,35.4,Inactive
EMP0151,33,Female,Operations,Coimbatore,17.4,90119.92,3,14.1,Active
EMP0152,24,Female,IT,Coimbatore,16.0,110378.96,4,59.0,Active
EMP0153,30,Male,IT,Coimbatore,18.2,120611.2,2,35.0,On Leave
EMP0154,51,Female,Finance,Chennai,22.9,127980.86,4,10.9,Active
EMP0155,28,Male,Operations,Coimbatore,24.4,120082.55,2,15.5,Active
EMP0156,23,Male,IT,Mumbai,21.5,111783.87,2,35.6,Active
EMP0157,29,Male,Sales,Hyderabad,28.7,130806.44,4,15.3,Active
EMP0158,50,Male,Marketing,Pune,0.5,40930.11,3,11.4,Active
EMP0159,31,Female,IT,Coimbatore,5.9,66997.19,5,13.2,Active
EMP0160,55,Male,Sales,Chennai,0.2,48912.79,1,19.1,Active
EMP0161,57,Female,HR,Mumbai,19.4,106103.6,3,11.3,Active
EMP0162,33,Female,Sales,Coimbatore,26.9,119125.36,2,28.1,Active
EMP0163,56,Male,Sales,Chennai,7.3,70965.58,3,66.9,Active
EMP0164,33,Female,Sales,Hyderabad,27.8,126315.51,5,22.0,Active
EMP0165,32,Male,IT,Bengaluru,1.8,46228.23,5,26.4,Active
EMP0166,57,Male,Marketing,Coimbatore,28.0,135001.6,1,17.0,Active
EMP0167,30,Male,HR,Mumbai,10.5,85715.34,3,67.1,Active
EMP0168,29,Female,IT,Chennai,3.0,78379.35,4,13.5,Active
EMP0169,27,Female,IT,Chennai,14.6,98953.78,3,21.8,Active
EMP0170,22,Male,Sales,Coimbatore,7.7,62484.43,2,26.6,Active
EMP0171,43,Male,Sales,Chennai,8.5,71026.05,5,13.9,Active
EMP0172,59,Female,IT,Bengaluru,9.2,82301.24,5,23.1,Active
EMP0173,60,Male,Finance,Chennai,24.1,121784.66,5,35.5,Active
EMP0174,59,Female,IT,Pune,16.2,114061.69,4,14.9,Active
EMP0175,41,Female,Sales,Pune,9.3,71390.57,4,8.2,Active
EMP0176,43,Male,IT,Chennai,18.3,111031.94,3,34.5,Active
EMP0177,49,Female,Sales,Coimbatore,21.5,117577.39,2,29.0,Active
EMP0178,34,Male,Finance,Pune,8.2,72072.69,2,21.2,Active
EMP0179,46,Female,Operations,Mumbai,12.4,84111.52,4,14.8,Inactive
EMP0180,25,Female,IT,Pune,3.7,51011.97,4,3.7,Active
EMP0181,51,Male,HR,Chennai,5.4,47433.59,4,43.9,Active
EMP0182,45,Male,IT,Coimbatore,20.4,105598.77,5,12.2,Active
EMP0183,51,Female,Operations,Hyderabad,5.4,56416.01,4,13.3,Active
EMP0184,40,Female,Operations,Coimbatore,15.8,95531.49,5,13.3,On Leave
EMP0185,37,Male,IT,Coimbatore,21.3,121212.18,3,37.0,Active
EMP0186,22,Female,Sales,Coimbatore,3.2,61595.94,4,50.8,Active
EMP0187,45,Male,Marketing,Mumbai,17.0,94455.23,3,13.6,Active
EMP0188,33,Male,Sales,Bengaluru,7.7,69299.93,3,11.3,Active
EMP0189,59,Female,Finance,Chennai,28.9,132416.39,5,19.8,Active
EMP0190,48,Male,IT,Bengaluru,14.5,90653.2,5,15.4,Active
EMP0191,26,Female,IT,Hyderabad,24.2,133264.3,2,10.7,Inactive
EMP0192,23,Male,Operations,Bengaluru,16.5,98542.82,1,42.5,Active
EMP0193,55,Female,Operations,Chennai,1.3,36198.26,4,32.4,Active
EMP0194,38,Male,Sales,Chennai,19.0,102927.21,4,8.5,Active
EMP0195,31,Male,HR,Hyderabad,28.5,120607.01,5,26.2,Active
EMP0196,40,Female,HR,Chennai,18.0,93143.77,3,24.9,Active
EMP0197,25,Male,Sales,Hyderabad,24.6,130223.07,2,33.2,Active
EMP0198,39,Male,Operations,Hyderabad,26.5,131351.64,3,9.1,Active
EMP0199,42,Male,Operations,Chennai,6.8,61805.33,1,40.8,Active
EMP0200,39,Male,Marketing,Pune,6.4,57798.19,1,18.7,On Leave
EMP0201,36,Female,Sales,Hyderabad,18.3,101106.51,5,31.0,Active
EMP0202,44,Male,IT,Chennai,12.3,80767.43,3,10.6,Active
EMP0203,24,Female,IT,Pune,25.2,136790.63,3,15.6,Active
EMP0204,35,Male,Operations,Hyderabad,27.0,131867.78,1,13.8,Active
EMP0205,45,Male,Sales,Pune,10.6,78036.15,3,5.9,Active
EMP0206,55,Male,IT,Mumbai,7.1,63641.72,4,10.8,Active
EMP0207,34,Male,IT,Coimbatore,23.4,107673.26,4,13.3,Active
EMP0208,39,Male,Sales,Mumbai,8.2,74477.22,4,19.7,Active
EMP0209,58,Female,IT,Pune,24.7,125619.3,3,32.0,Inactive
EMP0210,56,Female,IT,Hyderabad,12.7,80547.79,3,40.8,Active
EMP0211,27,Male,Sales,Chennai,20.0,112547.83,3,36.1,Active
EMP0212,50,Male,Sales,Bengaluru,2.9,44013.9,3,37.8,Active
EMP0213,39,Male,Sales,Chennai,18.7,110929.49,4,47.1,Active
EMP0214,45,Male,IT,Bengaluru,13.6,95536.05,3,22.7,Active
EMP0215,36,Male,Sales,Bengaluru,17.6,104068.55,4,38.5,Active
EMP0216,60,Male,IT,Hyderabad,5.0,49572.35,2,15.9,Active
EMP0217,28,Male,HR,Pune,22.1,120045.55,4,21.8,Active
EMP0218,38,Male,Marketing,Chennai,25.9,127740.0,5,20.9,Active
EMP0219,48,Male,Sales,Pune,6.5,56795.78,4,27.8,Active
EMP0220,36,Male,Marketing,Mumbai,2.9,46297.11,3,20.7,Active
EMP0221,39,Male,Sales,Hyderabad,0.7,25240.12,5,12.3,Inactive
EMP0222,37,Male,Sales,Hyderabad,19.3,107819.22,4,15.3,On Leave
EMP0223,33,Male,IT,Mumbai,18.2,98465.03,3,18.4,On Leave
EMP0224,27,Male,HR,Chennai,16.4,79578.64,3,5.5,Active
EMP0225,47,Male,IT,Coimbatore,7.0,55321.13,4,44.4,Active
EMP0226,30,Male,IT,Mumbai,11.7,92851.51,4,25.2,Active
EMP0227,54,Male,Operations,Chennai,17.8,91265.89,3,28.2,Active
EMP0228,56,Male,Finance,Bengaluru,14.9,104419.82,3,34.8,Active
EMP0229,45,Male,Operations,Hyderabad,29.6,133313.59,5,34.6,Active
EMP0230,26,Male,Sales,Chennai,4.1,37691.14,2,14.0,Active
EMP0231,44,Female,Marketing,Pune,20.9,99217.8,3,29.8,Active
EMP0232,38,Male,Finance,Pune,12.1,92236.49,2,30.2,Active
EMP0233,43,Male,Sales,Hyderabad,12.8,80552.81,4,21.6,Active
EMP0234,26,Female,Finance,Mumbai,21.5,110863.7,2,11.5,Active
EMP0235,49,Male,IT,Coimbatore,20.8,117080.15,4,26.2,Inactive
EMP0236,45,Male,Sales,Mumbai,29.7,144964.26,2,57.1,Active
EMP0237,37,Female,HR,Chennai,3.9,55589.19,4,18.8,Active
EMP0238,44,Female,IT,Mumbai,3.1,65437.99,4,19.5,Active
EMP0239,31,Male,Sales,Hyderabad,21.7,110071.85,3,25.1,Active
EMP0240,46,Male,IT,Chennai,17.4,93291.62,3,41.1,Active
EMP0241,54,Male,Operations,Bengaluru,8.2,59392.28,3,6.1,Active
EMP0242,48,Male,Operations,Mumbai,2.4,44482.24,3,49.9,Active
EMP0243,23,Female,Operations,Mumbai,2.6,35389.93,4,5.5,Active
EMP0244,31,Male,HR,Coimbatore,26.8,119142.79,3,59.1,Active
EMP0245,58,Male,IT,Chennai,5.8,66050.3,4,23.5,Active
EMP0246,34,Female,Operations,Pune,9.7,67560.78,3,10.0,Active
EMP0247,46,Female,Finance,Mumbai,6.8,64062.38,3,18.5,Active
EMP0248,41,Male,Operations,Hyderabad,10.6,65032.04,3,4.3,Active
EMP0249,59,Female,Operations,Mumbai,2.1,39506.79,3,18.0,Active
EMP0250,50,Male,Operations,Coimbatore,15.6,81206.13,3,20.8,Inactive
EMP0251,28,Female,HR,Bengaluru,2.0,47121.59,4,29.3,Active
EMP0252,40,Male,Finance,Coimbatore,24.0,132281.99,3,25.7,Active
EMP0253,52,Male,Operations,Mumbai,7.0,43730.5,1,12.8,Active
EMP0254,42,Male,HR,Pune,16.2,82263.91,4,23.3,Active
EMP0255,27,Male,IT,Mumbai,26.4,123427.77,4,20.0,Active
EMP0256,29,Male,Sales,Chennai,19.5,100049.81,2,8.4,Active
EMP0257,21,Female,Operations,Mumbai,16.0,89332.5,4,16.0,Inactive
EMP0258,49,Female,Sales,Pune,9.7,59352.84,3,30.6,Active
EMP0259,28,Male,Sales,Chennai,10.0,64625.12,4,24.9,Active
EMP0260,24,Male,IT,Hyderabad,20.1,105318.34,4,9.6,Inactive
EMP0261,55,Male,Sales,Chennai,29.8,142958.14,4,21.3,Active
EMP0262,23,Female,Operations,Coimbatore,19.9,104204.75,4,9.9,Active
EMP0263,60,Female,IT,Bengaluru,16.7,95676.1,3,18.3,Active
EMP0264,27,Female,Finance,Coimbatore,21.9,118064.57,4,17.7,Active
EMP0265,47,Female,Operations,Chennai,14.0,78626.56,3,23.5,Active
EMP0266,21,Male,Marketing,Hyderabad,1.8,39126.76,2,22.1,Active
EMP0267,47,Male,Sales,Mumbai,16.9,109537.62,3,9.9,On Leave
EMP0268,36,Female,Sales,Chennai,28.7,148173.69,5,15.8,Active
EMP0269,58,Female,HR,Coimbatore,5.3,41153.35,5,11.0,Active
EMP0270,27,Male,HR,Chennai,20.7,112087.86,2,19.7,Active
EMP0271,43,Male,Marketing,Chennai,6.0,62491.17,4,10.1,Active
EMP0272,31,Female,Marketing,Chennai,16.1,82163.89,4,35.2,Active
EMP0273,53,Male,Operations,Hyderabad,2.9,50700.22,3,15.6,Active
EMP0274,56,Male,Operations,Pune,13.5,93553.46,3,69.5,Active
EMP0275,57,Female,Finance,Pune,22.7,110469.64,4,24.0,Active
EMP0276,37,Male,Finance,Chennai,10.4,69059.98,3,8.4,Active
EMP0277,55,Male,Marketing,Hyderabad,19.9,112791.29,2,3.2,On Leave
EMP0278,25,Female,Sales,Hyderabad,23.9,122821.96,4,8.8,Active
EMP0279,52,Female,Sales,Chennai,27.8,138711.81,5,43.6,Active
EMP0280,23,Female,Marketing,Coimbatore,7.0,62224.71,4,8.2,Inactive
EMP0281,55,Male,Operations,Coimbatore,12.0,79125.57,4,42.1,Active
EMP0282,34,Male,HR,Bengaluru,4.6,38488.22,3,29.2,Inactive
EMP0283,51,Female,HR,Chennai,29.8,145678.54,2,23.7,Active
EMP0284,51,Male,IT,Bengaluru,27.8,149656.72,4,42.4,Active
EMP0285,37,Male,Sales,Coimbatore,16.2,91864.87,3,34.5,Inactive
EMP0286,44,Female,IT,Coimbatore,25.3,131202.18,4,19.2,Active
EMP0287,43,Male,Finance,Chennai,15.6,82351.14,2,5.8,Inactive
EMP0288,38,Male,Sales,Bengaluru,18.7,106564.04,3,29.6,Inactive
EMP0289,34,Male,HR,Bengaluru,2.7,47026.46,3,10.9,On Leave
EMP0290,35,Male,Sales,Chennai,22.7,115952.47,5,11.6,Active
EMP0291,35,Male,IT,Bengaluru,3.8,65294.83,2,18.8,Active
EMP0292,26,Male,IT,Mumbai,24.8,127127.38,1,14.2,Active
EMP0293,47,Female,Marketing,Coimbatore,23.5,121766.85,3,20.1,On Leave
EMP0294,35,Female,HR,Pune,21.3,99392.69,4,17.9,Active
EMP0295,56,Male,IT,Hyderabad,1.1,46661.58,3,22.5,Active
EMP0296,28,Male,Finance,Bengaluru,9.1,70455.17,3,28.1,Active
EMP0297,35,Male,Marketing,Bengaluru,7.9,64452.46,2,46.8,Active
EMP0298,23,Male,IT,Hyderabad,10.8,77843.78,4,31.8,Active
EMP0299,33,Female,Sales,Bengaluru,2.6,45048.22,2,27.0,Active
EMP0300,54,Female,IT,Hyderabad,28.1,147958.38,3,16.7,Inactive
EMP0301,44,Female,IT,Chennai,16.6,97605.89,3,15.1,Active
EMP0302,60,Male,Sales,Mumbai,9.2,56347.38,3,4.9,Inactive
EMP0303,52,Male,Sales,Mumbai,11.9,92646.67,4,17.3,Active
EMP0304,52,Male,Sales,Coimbatore,13.4,94951.63,3,29.8,Active
EMP0305,50,Male,Sales,Pune,18.0,89661.9,5,7.1,Active
EMP0306,33,Female,Operations,Bengaluru,15.5,93767.66,5,18.9,Active
EMP0307,21,Female,Finance,Pune,27.6,132576.2,3,22.2,Active
EMP0308,54,Male,HR,Chennai,14.9,87257.9,4,25.9,Active
EMP0309,35,Female,Marketing,Mumbai,29.8,141653.79,4,28.0,Active
EMP0310,34,Male,IT,Chennai,25.5,130374.74,5,34.7,Active
EMP0311,49,Male,Finance,Chennai,6.3,55779.87,3,8.4,Active
EMP0312,54,Female,IT,Bengaluru,27.9,135125.67,3,24.0,Active
EMP0313,38,Male,IT,Chennai,3.5,47920.46,3,21.2,Active
EMP0314,27,Male,Operations,Mumbai,24.5,113095.42,4,4.9,Active
EMP0315,49,Female,Marketing,Pune,11.4,74362.57,3,45.1,Active
EMP0316,51,Female,Sales,Mumbai,26.3,123323.92,3,34.3,On Leave
EMP0317,45,Male,Finance,Bengaluru,26.0,136456.42,3,11.1,Active
EMP0318,58,Male,IT,Mumbai,24.2,139597.97,3,14.6,Active
EMP0319,34,Female,IT,Hyderabad,23.7,121309.57,3,16.2,Active
EMP0320,28,Female,IT,Pune,9.1,76765.24,2,44.4,Active
EMP0321,47,Female,Sales,Hyderabad,2.4,49397.48,3,29.8,Active
EMP0322,22,Male,Sales,Hyderabad,12.1,83126.02,5,29.1,Active
EMP0323,37,Female,Sales,Coimbatore,5.2,55807.64,3,22.2,Active
EMP0324,57,Male,IT,Bengaluru,20.8,121741.46,4,35.7,Active
EMP0325,34,Female,Operations,Chennai,10.4,74257.99,2,4.0,Active
EMP0326,45,Male,Marketing,Hyderabad,29.3,127648.7,3,18.7,Active
EMP0327,50,Female,Sales,Mumbai,19.2,111153.25,4,35.5,Active
EMP0328,49,Male,Sales,Chennai,24.7,130548.33,4,34.2,Inactive
EMP0329,40,Male,Finance,Mumbai,4.0,47893.71,3,43.8,Active
EMP0330,41,Male,IT,Mumbai,25.9,133953.5,5,36.6,Inactive
EMP0331,42,Male,HR,Chennai,27.7,135416.63,5,12.8,Active
EMP0332,55,Female,Marketing,Chennai,14.6,84425.49,5,9.1,Active
EMP0333,57,Female,IT,Mumbai,18.2,115283.82,3,25.4,Active
EMP0334,36,Female,IT,Bengaluru,22.9,142060.98,2,45.7,Active
EMP0335,37,Male,IT,Pune,5.2,54912.11,4,16.4,Active
EMP0336,36,Female,IT,Coimbatore,15.1,84801.64,4,24.7,Active
EMP0337,22,Female,Operations,Pune,12.0,78430.55,2,42.7,Active
EMP0338,24,Male,Sales,Bengaluru,4.4,58172.5,4,11.9,Active
EMP0339,41,Male,Finance,Coimbatore,11.0,76653.07,1,45.8,Active
EMP0340,59,Female,IT,Chennai,2.0,61626.09,3,7.4,Active
EMP0341,54,Female,Finance,Coimbatore,0.8,32091.15,3,25.0,Active
EMP0342,50,Female,Finance,Mumbai,4.1,59893.35,4,30.7,Active
EMP0343,26,Male,IT,Pune,28.9,139303.11,3,33.0,Active
EMP0344,37,Male,Finance,Coimbatore,16.5,111505.02,4,7.6,Active
EMP0345,59,Male,Finance,Mumbai,29.0,157440.12,3,26.6,Inactive
EMP0346,45,Female,Sales,Bengaluru,13.0,76366.75,4,12.7,Inactive
EMP0347,25,Female,Sales,Coimbatore,9.4,65503.54,5,25.2,Active
EMP0348,25,Male,IT,Mumbai,15.2,103076.7,4,20.1,Active
EMP0349,40,Female,HR,Bengaluru,13.2,76102.95,5,5.1,Active
EMP0350,36,Male,Sales,Chennai,3.2,47836.71,1,40.0,Active
EMP0351,57,Female,Finance,Bengaluru,19.2,107403.11,3,19.0,Active
EMP0352,60,Male,Operations,Bengaluru,6.5,41392.61,2,50.4,Active
EMP0353,29,Male,Sales,Pune,18.6,101989.3,3,19.5,Active
EMP0354,25,Male,IT,Mumbai,19.5,105732.18,4,28.6,Active
EMP0355,22,Male,IT,Coimbatore,4.6,55155.02,1,16.7,Active
EMP0356,29,Male,Sales,Pune,1.8,54849.06,3,21.8,Active
