HouseID,Bedrooms,Bathrooms,AreaSqFt,YearBuilt,Location,PropertyType,ParkingSpaces,HousePrice
HOUSE0152,5,2.0,977,2011,Urban,Townhouse,0,448925
HOUSE0153,3,2.0,1754,2005,Urban,Independent House,2,639816
HOUSE0154,5,1.5,1422,1996,Suburban,Independent House,2,515010
HOUSE0155,4,4.0,919,2007,Urban,Townhouse,1,382093
HOUSE0156,5,2.5,2704,1976,Suburban,Apartment,3,750272
HOUSE0157,3,1.0,3097,1974,Urban,Apartment,1,761611
HOUSE0158,3,1.5,1620,2012,Suburban,Townhouse,3,588976
HOUSE0159,6,1.5,3568,2014,Suburban,Apartment,0,913963
HOUSE0160,4,2.5,1450,2026,Suburban,Independent House,0,491550
HOUSE0161,2,1.0,2836,2020,Suburban,Independent House,0,690158
HOUSE0162,2,3.0,2743,2000,Suburban,Independent House,0,792388
HOUSE0163,5,3.5,3145,1992,Suburban,Independent House,2,855469
HOUSE0164,6,4.0,2357,2011,Rural,Villa,2,941421
HOUSE0165,1,3.5,2365,1979,Urban,Apartment,1,681799
HOUSE0166,5,3.0,3412,2001,Rural,Apartment,3,863271
HOUSE0167,6,1.5,3353,2012,Suburban,Villa,0,977286
HOUSE0168,4,1.0,3728,2022,Urban,Independent House,0,1036636
HOUSE0169,4,1.5,4219,1999,Urban,Apartment,3,1037974
HOUSE0170,4,2.0,3728,2008,Suburban,Townhouse,3,889157
HOUSE0171,4,1.5,2871,2000,Urban,Independent House,1,852696
HOUSE0172,4,1.5,3391,1987,Urban,Townhouse,3,932443
HOUSE0173,6,3.0,4256,2005,Suburban,Villa,0,1251765
HOUSE0174,6,3.0,4725,1971,Suburban,Independent House,0,1165980
HOUSE0175,3,3.0,594,1983,Suburban,Independent House,0,316863
HOUSE0176,2,3.5,3174,1982,Rural,Townhouse,0,800004
HOUSE0177,4,2.0,2455,1998,Suburban,Apartment,0,732650
HOUSE0178,1,3.0,1293,1981,Suburban,Villa,1,531400
HOUSE0179,6,1.0,2334,2008,Urban,Apartment,0,729536
HOUSE0180,1,3.5,2616,1971,Suburban,Independent House,1,598716
HOUSE0181,1,2.5,4606,2001,Urban,Independent House,0,1038704
HOUSE0182,1,1.0,3825,1982,Rural,Townhouse,2,845738
HOUSE0183,3,4.0,3419,2015,Suburban,Townhouse,2,890356
HOUSE0184,6,4.0,3097,1996,Suburban,Apartment,2,814618
HOUSE0185,1,1.0,3705,2018,Urban,Apartment,2,1059094
HOUSE0186,4,3.0,1314,2010,Rural,Villa,1,520150
HOUSE0187,5,2.5,845,1986,Suburban,Independent House,1,558938
HOUSE0188,1,2.5,2849,2009,Urban,Apartment,3,743049
HOUSE0189,3,3.5,862,2000,Urban,Independent House,0,457732
HOUSE0190,6,2.5,2943,2003,Suburban,Independent House,2,847526
HOUSE0191,3,4.0,2765,1993,Urban,Townhouse,1,841242
HOUSE0192,1,2.0,2688,2014,Rural,Apartment,0,538451
HOUSE0193,6,3.0,3505,2004,Suburban,Independent House,0,876484
HOUSE0194,5,2.5,3781,2017,Urban,Independent House,1,1132289
HOUSE0195,1,3.5,1484,1975,Suburban,Villa,2,527721
HOUSE0196,3,4.0,2139,1988,Urban,Independent House,3,759724
HOUSE0197,2,2.0,1327,1999,Suburban,Independent House,0,398187
HOUSE0198,4,1.5,3230,1976,Urban,Apartment,3,879821
HOUSE0199,3,1.5,4031,1979,Urban,Townhouse,2,1064357
HOUSE0200,6,2.0,4951,2010,Suburban,Independent House,2,1215624
HOUSE0201,1,4.0,3435,2001,Suburban,Apartment,3,744628
HOUSE0202,4,3.5,4376,2003,Suburban,Independent House,2,1191520
HOUSE0203,1,2.0,626,1997,Suburban,Apartment,0,305192
HOUSE0204,6,3.0,3677,1984,Suburban,Apartment,3,947781
HOUSE0205,1,3.0,3556,1999,Urban,Townhouse,2,884782
HOUSE0206,2,1.5,1103,2006,Urban,Independent House,3,432007
HOUSE0207,4,2.5,3949,1998,Rural,Villa,0,1103233
HOUSE0208,4,3.5,4646,1991,Suburban,Apartment,2,1074544
HOUSE0209,6,1.5,4033,1973,Suburban,Villa,0,1018405
HOUSE0210,2,2.5,3867,1989,Urban,Apartment,2,941342
HOUSE0211,3,2.5,3868,2001,Urban,Independent House,1,955239
HOUSE0212,1,3.0,4297,2005,Suburban,Townhouse,2,944759
HOUSE0213,5,4.0,2292,2019,Rural,Villa,3,825655
HOUSE0214,1,1.0,3361,1973,Suburban,Independent House,2,772698
HOUSE0215,1,4.0,3976,1996,Suburban,Independent House,0,867625
HOUSE0216,3,1.0,3917,1986,Suburban,Townhouse,0,964317
HOUSE0217,1,2.0,2145,1981,Urban,Independent House,2,650958
HOUSE0218,2,3.0,1705,1991,Suburban,Villa,3,636632
HOUSE0219,2,2.5,3530,1986,Urban,Villa,1,939233
HOUSE0220,4,3.5,3372,1979,Urban,Apartment,3,905099
HOUSE0221,6,1.0,3572,2023,Rural,Apartment,1,944332
HOUSE0222,5,4.0,2354,1970,Suburban,Independent House,0,750749
HOUSE0223,1,2.5,4521,1991,Suburban,Apartment,3,1050705
HOUSE0224,1,1.0,3208,1995,Urban,Apartment,1,731221
HOUSE0225,3,1.0,4002,2025,Urban,Townhouse,2,874914
HOUSE0226,6,1.0,1832,1987,Urban,Independent House,0,713351
HOUSE0227,2,3.5,701,2019,Urban,Villa,2,536420
HOUSE0228,5,3.0,4007,1983,Suburban,Independent House,0,1041968
HOUSE0229,4,3.5,4712,2016,Urban,Independent House,3,1318621
HOUSE0230,2,1.5,1074,1998,Suburban,Apartment,3,514440
HOUSE0231,6,2.5,1036,1981,Urban,Independent House,0,494989
HOUSE0232,4,3.0,2125,2005,Urban,Apartment,0,677998
HOUSE0233,3,3.0,2622,2004,Urban,Independent House,0,842902
HOUSE0234,3,3.0,885,2021,Suburban,Villa,3,526086
HOUSE0235,1,4.0,3781,1981,Suburban,Independent House,1,866474
HOUSE0236,6,3.0,974,1976,Suburban,Independent House,2,473918
HOUSE0237,5,3.5,917,1998,Suburban,Independent House,2,502055
HOUSE0238,4,3.0,4100,1980,Suburban,Apartment,3,981794
HOUSE0239,2,2.0,1454,2002,Urban,Independent House,2,513230
HOUSE0240,6,2.5,1705,1975,Urban,Apartment,0,552412
HOUSE0241,6,3.0,4620,2016,Suburban,Apartment,1,1196197
HOUSE0242,3,2.5,2490,1984,Suburban,Apartment,2,728692
HOUSE0243,1,2.0,4072,2001,Urban,Independent House,1,1050096
HOUSE0244,1,2.0,4880,2020,Rural,Villa,0,1118146
HOUSE0245,4,2.5,4658,1980,Suburban,Apartment,2,1114926
HOUSE0246,3,1.0,3213,1992,Urban,Independent House,3,878356
HOUSE0247,6,1.5,2703,1995,Suburban,Independent House,1,769806
HOUSE0248,5,4.0,3620,2003,Suburban,Apartment,0,977711
HOUSE0249,3,1.0,1466,2015,Suburban,Townhouse,1,469850
HOUSE0250,4,1.0,3932,2003,Urban,Independent House,2,1003351
HOUSE0251,4,3.5,1188,1998,Urban,Independent House,2,498404
HOUSE0252,3,4.0,4743,1973,Suburban,Independent House,3,1109929
HOUSE0253,4,4.0,4201,1986,Suburban,Apartment,0,1012873
HOUSE0254,3,1.0,841,2004,Suburban,Independent House,0,456427
HOUSE0255,2,3.0,2224,1982,Suburban,Independent House,3,629845
HOUSE0256,3,3.5,4922,2010,Urban,Townhouse,3,1173852
HOUSE0257,3,3.5,2292,2008,Suburban,Apartment,0,723828
HOUSE0258,4,2.0,2259,1984,Urban,Independent House,1,678992
HOUSE0259,4,4.0,3712,2024,Suburban,Independent House,1,922341
HOUSE0260,1,1.0,1489,1998,Suburban,Apartment,3,440075
HOUSE0261,1,2.0,2762,1998,Urban,Independent House,1,720321
HOUSE0262,2,2.5,2982,1980,Suburban,Villa,0,941580
HOUSE0263,1,1.5,1451,2021,Urban,Townhouse,2,539948
HOUSE0264,3,3.5,1222,2001,Urban,Independent House,2,544643
HOUSE0265,4,2.5,3889,1971,Urban,Villa,1,1034795
HOUSE0266,1,2.5,2579,2016,Urban,Townhouse,3,759728
HOUSE0267,1,3.0,3217,1983,Rural,Townhouse,3,820295
HOUSE0268,2,1.5,2832,1989,Suburban,Apartment,3,713951
HOUSE0269,6,2.5,3876,1991,Urban,Villa,3,1134309
HOUSE0270,2,2.5,2000,1980,Suburban,Independent House,3,622740
HOUSE0271,3,1.5,785,1996,Urban,Townhouse,1,401870
HOUSE0272,4,1.5,3995,1972,Rural,Independent House,2,947731
HOUSE0273,2,2.5,2565,1986,Suburban,Apartment,2,634960
HOUSE0274,1,1.5,1268,2013,Suburban,Villa,1,507725
HOUSE0275,4,2.5,3557,2025,Urban,Independent House,3,999171
HOUSE0276,4,2.5,4789,1997,Suburban,Townhouse,1,1176332
HOUSE0277,1,3.0,2661,1998,Suburban,Townhouse,2,674969
HOUSE0278,2,1.0,3793,1990,Suburban,Independent House,0,844553
HOUSE0279,1,2.5,1446,2016,Urban,Apartment,1,443177
HOUSE0280,6,2.0,3835,1985,Urban,Independent House,3,1085801
HOUSE0281,4,3.5,4650,2006,Rural,Apartment,2,1095585
HOUSE0282,5,4.0,1981,1989,Suburban,Apartment,2,630742
HOUSE0283,5,1.0,2401,1975,Urban,Townhouse,2,687511
HOUSE0284,3,1.0,3951,1988,Urban,Apartment,2,1036389
HOUSE0285,1,1.0,4564,2026,Rural,Independent House,3,926498
HOUSE0286,1,3.0,554,1974,Urban,Townhouse,0,325979
HOUSE0287,3,2.5,2323,1972,Suburban,Independent House,2,721910
HOUSE0288,3,3.0,3962,1970,Suburban,Apartment,1,737619
HOUSE0289,3,2.5,3579,2007,Urban,Townhouse,0,966127
HOUSE0290,4,3.0,1332,1984,Suburban,Apartment,2,476347
HOUSE0291,6,3.0,4908,2003,Urban,Villa,0,1362643
HOUSE0292,1,3.5,3306,2004,Urban,Townhouse,1,837518
HOUSE0293,4,2.0,2990,2018,Suburban,Townhouse,2,887370
HOUSE0294,3,3.0,827,1994,Rural,Independent House,1,389616
HOUSE0295,1,3.5,3810,1993,Suburban,Independent House,3,936786
HOUSE0296,4,1.5,3800,1981,Suburban,Apartment,2,856057
HOUSE0297,6,2.0,4175,1987,Urban,Villa,2,1298815
HOUSE0298,4,3.0,3554,1984,Urban,Townhouse,2,952817
HOUSE0299,6,4.0,2643,2013,Urban,Independent House,2,1020630
HOUSE0300,3,1.0,1811,1985,Urban,Apartment,3,662158
HOUSE0301,6,1.5,3691,1996,Urban,Apartment,2,900462
HOUSE0302,1,1.5,3038,1977,Urban,Apartment,0,667293
HOUSE0303,3,3.5,4483,2015,Urban,Villa,2,1193892
HOUSE0304,1,1.5,664,1994,Urban,Independent House,3,366710
HOUSE0305,5,2.0,4777,1986,Suburban,Townhouse,2,1151218
HOUSE0306,2,3.0,1322,1998,Suburban,Villa,0,569856
HOUSE0307,6,3.0,1443,2022,Urban,Apartment,3,707646
HOUSE0308,2,4.0,4925,1977,Rural,Independent House,3,1180379
HOUSE0309,2,1.0,1274,1984,Rural,Independent House,0,415294
HOUSE0310,6,3.5,2698,1996,Urban,Independent House,0,834593
HOUSE0311,3,1.0,3656,2015,Suburban,Villa,0,948779
HOUSE0312,5,1.5,4742,2019,Suburban,Villa,0,1247298
HOUSE0313,1,4.0,4195,2021,Suburban,Townhouse,0,1012406
HOUSE0314,4,1.0,3952,1976,Urban,Apartment,3,956200
HOUSE0315,1,2.0,1414,1972,Suburban,Apartment,3,339446
HOUSE0316,4,3.0,1808,1998,Urban,Villa,2,793943
HOUSE0317,1,1.5,4677,2013,Suburban,Apartment,2,1002644
HOUSE0318,6,4.0,1013,2022,Suburban,Independent House,1,550414
HOUSE0319,5,1.0,2420,1993,Suburban,Apartment,2,680269
HOUSE0320,4,3.5,4094,1972,Suburban,Independent House,2,1007125
HOUSE0321,3,2.0,1909,1989,Suburban,Apartment,0,511895
HOUSE0322,1,2.0,3690,2015,Urban,Independent House,0,847994
HOUSE0323,1,1.0,4991,1984,Urban,Townhouse,2,1094368
HOUSE0324,4,3.0,2055,1994,Suburban,Apartment,1,652648
HOUSE0325,3,1.0,1304,1999,Urban,Apartment,0,468552
HOUSE0326,3,1.5,1779,1983,Urban,Independent House,2,642026
HOUSE0327,6,1.0,4077,1976,Urban,Townhouse,2,1014433
HOUSE0328,6,2.0,3401,1986,Urban,Apartment,3,882277
HOUSE0329,6,4.0,1887,2013,Rural,Independent House,1,665768
HOUSE0330,6,1.0,3261,1989,Suburban,Apartment,3,835868
HOUSE0331,6,3.0,3179,2005,Rural,Villa,1,947503
HOUSE0332,6,4.0,2606,1978,Suburban,Independent House,0,804067
HOUSE0333,5,3.5,4723,2007,Suburban,Villa,1,1252186
HOUSE0334,3,2.5,3268,2017,Urban,Townhouse,2,843937
HOUSE0335,6,1.0,4453,2026,Suburban,Apartment,2,1085590
HOUSE0336,3,3.0,3686,1991,Urban,Villa,1,1069483
HOUSE0337,3,4.0,3780,2023,Rural,Apartment,1,949374
HOUSE0338,2,3.0,3073,2022,Suburban,Townhouse,1,842411
HOUSE0339,5,3.5,3099,2022,Urban,Independent House,3,998244
HOUSE0340,6,2.0,4533,1971,Rural,Townhouse,1,1044535
HOUSE0341,1,3.0,736,1993,Suburban,Apartment,0,312126
HOUSE0342,4,4.0,1804,1977,Suburban,Apartment,3,591803
HOUSE0343,1,3.0,3930,1980,Urban,Independent House,3,972855
HOUSE0344,5,3.0,1801,1982,Suburban,Independent House,1,575414
HOUSE0345,4,3.0,3041,1986,Suburban,Apartment,0,775574
HOUSE0346,5,1.5,2551,1977,Urban,Independent House,3,807313
HOUSE0347,3,1.5,941,1990,Urban,Apartment,2,429236
HOUSE0348,4,2.0,2576,1987,Suburban,Independent House,3,684504
HOUSE0349,3,1.0,3680,1999,Urban,Villa,1,1029813
HOUSE0350,1,3.0,3157,1987,Suburban,Independent House,0,688266
HOUSE0351,1,3.5,4298,2015,Rural,Apartment,1,949124
HOUSE0352,4,1.0,1304,2016,Rural,Independent House,2,449653
HOUSE0353,4,3.5,574,2000,Urban,Apartment,2,504402
HOUSE0354,6,1.0,2675,2007,Rural,Townhouse,2,761662
HOUSE0355,5,2.0,4424,2001,Urban,Apartment,1,1139378
HOUSE0356,6,3.0,2589,1980,Urban,Villa,3,1046364
HOUSE0357,5,3.0,540,2014,Suburban,Townhouse,1,377930
HOUSE0358,6,2.5,2581,1994,Urban,Townhouse,0,827964
HOUSE0359,3,3.5,2122,2002,Urban,Independent House,3,667864
HOUSE0360,4,1.0,841,2007,Suburban,Townhouse,2,432825
HOUSE0361,1,1.0,4552,2010,Urban,Townhouse,1,1128445
HOUSE0362,5,1.5,2574,1977,Urban,Independent House,2,749126
HOUSE0363,5,2.5,1145,1980,Suburban,Independent House,2,460602
HOUSE0364,1,4.0,4763,1991,Suburban,Independent House,0,1067781
HOUSE0365,6,4.0,1109,2020,Suburban,Independent House,3,712711
HOUSE0366,5,1.5,954,1993,Urban,Independent House,0,522672
HOUSE0367,3,1.5,3453,2010,Suburban,Independent House,0,819094
HOUSE0368,4,1.5,2208,1986,Urban,Apartment,0,709193
HOUSE0369,1,3.5,3972,1981,Urban,Apartment,2,850207
HOUSE0370,4,3.5,3469,2026,Suburban,Apartment,0,1014248
HOUSE0371,5,2.0,3528,2015,Urban,Apartment,0,985663
HOUSE0372,5,2.0,3181,2001,Urban,Apartment,3,987758
HOUSE0373,1,1.5,4129,1984,Suburban,Independent House,3,858430
HOUSE0374,3,2.5,4725,1985,Suburban,Apartment,0,1049772
HOUSE0375,2,1.0,3567,2023,Suburban,Townhouse,3,880766
HOUSE0376,1,3.5,1886,1991,Urban,Apartment,3,531131
HOUSE0377,2,2.5,4276,1997,Urban,Apartment,0,925079
HOUSE0378,6,3.0,3366,1989,Urban,Villa,2,1104834
HOUSE0379,2,3.5,3863,2002,Urban,Independent House,0,1009427
HOUSE0380,3,3.5,4624,1979,Suburban,Apartment,3,1134919
HOUSE0381,6,2.0,648,2009,Suburban,Townhouse,2,426069
HOUSE0382,2,1.0,4350,2001,Suburban,Townhouse,1,970920
HOUSE0383,6,1.0,2558,2019,Suburban,Independent House,2,734917
HOUSE0384,2,4.0,1636,2002,Suburban,Independent House,3,660719
HOUSE0385,3,4.0,686,1971,Suburban,Townhouse,2,376957
HOUSE0386,2,4.0,3354,2002,Urban,Independent House,0,933049
HOUSE0387,2,4.0,1750,2002,Suburban,Independent House,1,618095
HOUSE0388,2,3.0,1833,2010,Suburban,Townhouse,1,644695
HOUSE0389,1,3.0,4693,1982,Urban,Apartment,1,1001370
HOUSE0390,1,3.5,4650,1999,Urban,Independent House,3,1163479
HOUSE0391,1,1.5,3211,2002,Rural,Apartment,3,715930
HOUSE0392,3,2.0,2285,1982,Urban,Villa,1,876784
HOUSE0393,6,2.0,1250,2021,Urban,Independent House,2,587282
HOUSE0394,5,4.0,2262,1995,Suburban,Independent House,1,797531
HOUSE0395,2,3.5,4420,1991,Suburban,Apartment,2,1028117
HOUSE0396,2,2.5,4960,2008,Suburban,Apartment,2,1125093
HOUSE0397,3,1.5,981,1971,Suburban,Independent House,3,411281
HOUSE0398,2,3.5,653,2007,Urban,Villa,2,589073
HOUSE0399,1,1.5,2024,2008,Suburban,Independent House,1,579913
HOUSE0400,5,1.5,2620,1995,Urban,Apartment,3,706179
HOUSE0401,4,1.5,2843,2015,Suburban,Townhouse,0,831515
