LoanID,Age,Gender,Married,Dependents,Education,SelfEmployed,EmploymentType,CreditHistory,PropertyArea,LoanPurpose,LoanTermMonths,ApplicantIncome,CoapplicantIncome,LoanAmount,LoanStatus
LOAN00031,62,Female,Yes,1,Not Graduate,No,Business Owner,Good,Rural,Home,240,55678,18612,230629,Rejected
LOAN00032,48,Male,Yes,1,Graduate,No,Salaried,Average,Urban,Education,60,19194,13156,97240,Rejected
LOAN00033,36,Male,No,0,Graduate,No,Government,Good,Semiurban,Personal,180,34421,5021,108155,Approved
LOAN00034,35,Male,Yes,1,Graduate,No,Salaried,Good,Urban,Education,360,57227,6934,238574,Approved
LOAN00035,64,Male,Yes,1,Graduate,No,Salaried,Good,Urban,Home,360,27350,13131,165718,Approved
LOAN00036,23,Female,No,0,Graduate,Yes,Government,Average,Semiurban,Home,240,44248,7573,175724,Approved
LOAN00037,57,Female,Yes,0,Not Graduate,Yes,Government,Poor,Semiurban,Education,240,35662,10818,126232,Rejected
LOAN00038,27,Male,Yes,0,Not Graduate,No,Freelancer,Poor,Semiurban,Vehicle,120,35803,8138,153938,Rejected
LOAN00039,41,Male,No,3+,Graduate,No,Business Owner,Good,Semiurban,Medical,180,45723,1557,211767,Approved
LOAN00040,29,Female,Yes,2,Graduate,No,Salaried,Poor,Semiurban,Vehicle,360,15733,3824,100260,Rejected
LOAN00041,59,Male,No,0,Not Graduate,No,Government,Good,Semiurban,Personal,360,62412,15918,242936,Approved
LOAN00042,38,Female,No,0,Graduate,No,Salaried,Good,Semiurban,Vehicle,180,15465,4812,81961,Approved
LOAN00043,24,Female,Yes,1,Graduate,No,Salaried,Good,Semiurban,Personal,240,60546,4406,199753,Approved
LOAN00044,45,Female,Yes,2,Graduate,No,Business Owner,Good,Semiurban,Home,360,44148,13423,142354,Approved
LOAN00045,34,Male,Yes,0,Not Graduate,No,Salaried,Good,Semiurban,Personal,180,44932,17955,134343,Approved
LOAN00046,29,Male,Yes,0,Graduate,Yes,Salaried,Good,Rural,Education,240,75098,13216,273954,Approved
LOAN00047,46,Female,Yes,3+,Not Graduate,No,Salaried,Poor,Urban,Personal,360,61855,17525,146709,Rejected
LOAN00048,22,Female,Yes,0,Not Graduate,No,Salaried,Good,Rural,Home,360,52385,7973,147463,Approved
LOAN00049,40,Male,Yes,0,Graduate,No,Salaried,Good,Urban,Vehicle,300,31808,9627,138291,Approved
LOAN00050,48,Female,Yes,3+,Graduate,No,Salaried,Poor,Urban,Vehicle,360,30874,11436,94983,Approved
LOAN00051,27,Male,Yes,1,Not Graduate,No,Salaried,Good,Urban,Medical,180,53033,11939,169342,Rejected
LOAN00052,64,Female,Yes,0,Graduate,No,Freelancer,Good,Semiurban,Vehicle,360,44524,2671,145631,Approved
LOAN00053,28,Male,Yes,0,Graduate,No,Government,Average,Urban,Education,180,41586,6295,128357,Approved
LOAN00054,55,Female,No,0,Graduate,No,Business Owner,Good,Rural,Business,360,35397,1823,94372,Approved
LOAN00055,34,Male,Yes,0,Graduate,No,Business Owner,Average,Rural,Education,360,30227,6840,148871,Rejected
LOAN00056,37,Male,Yes,3+,Graduate,No,Salaried,Good,Semiurban,Home,300,19429,9432,72905,Approved
LOAN00057,56,Male,No,0,Graduate,No,Salaried,Average,Semiurban,Home,360,48514,678,227234,Rejected
LOAN00058,60,Male,Yes,2,Graduate,No,Salaried,Good,Rural,Home,360,33465,4894,119665,Approved
LOAN00059,24,Female,Yes,3+,Not Graduate,No,Business Owner,Good,Rural,Business,180,32500,28229,173312,Approved
LOAN00060,22,Female,Yes,0,Graduate,No,Freelancer,Good,Semiurban,Personal,360,16064,10734,65742,Approved
LOAN00061,26,Male,No,0,Graduate,No,Business Owner,Good,Semiurban,Personal,360,37862,3877,190682,Approved
LOAN00062,62,Male,Yes,1,Graduate,No,Salaried,Average,Semiurban,Home,360,19663,16140,100432,Approved
LOAN00063,24,Female,Yes,3+,Graduate,No,Salaried,Poor,Semiurban,Home,180,29864,9154,85999,Approved
LOAN00064,49,Female,Yes,2,Graduate,No,Government,Average,Urban,Home,180,51881,11331,212294,Approved
LOAN00065,38,Female,No,0,Graduate,No,Salaried,Good,Semiurban,Home,240,37364,3141,119186,Approved
LOAN00066,46,Male,Yes,2,Graduate,Yes,Freelancer,Poor,Urban,Home,180,34634,7905,189128,Rejected
LOAN00067,64,Male,Yes,1,Graduate,No,Business Owner,Good,Urban,Education,300,26187,21713,169649,Approved
LOAN00068,54,Female,No,3+,Not Graduate,No,Freelancer,Good,Semiurban,Business,120,28385,1260,64876,Approved
LOAN00069,30,Male,Yes,0,Graduate,No,Government,Good,Rural,Business,180,74118,11395,186109,Approved
LOAN00070,56,Female,No,1,Graduate,Yes,Government,Good,Rural,Business,240,51580,4448,172903,Approved
LOAN00071,34,Male,Yes,3+,Not Graduate,No,Business Owner,Average,Semiurban,Home,300,29497,8895,130035,Rejected
LOAN00072,51,Female,No,0,Graduate,No,Business Owner,Good,Semiurban,Vehicle,360,34631,5195,138027,Approved
LOAN00073,35,Male,Yes,1,Not Graduate,No,Salaried,Good,Urban,Personal,360,40591,14356,210415,Approved
LOAN00074,28,Female,No,0,Not Graduate,No,Government,Average,Semiurban,Home,120,44229,4555,161336,Rejected
LOAN00075,34,Male,No,0,Graduate,Yes,Business Owner,Poor,Urban,Home,120,35920,1849,147657,Rejected
LOAN00076,43,Female,Yes,0,Graduate,No,Salaried,Average,Urban,Home,120,16372,15658,66334,Approved
LOAN00077,60,Male,Yes,3+,Graduate,No,Salaried,Good,Semiurban,Home,240,35805,8312,186690,Approved
LOAN00078,41,Female,Yes,0,Graduate,No,Salaried,Good,Urban,Education,120,34835,16531,117226,Approved
LOAN00079,36,Female,Yes,1,Not Graduate,No,Business Owner,Good,Urban,Home,360,91655,13560,379322,Rejected
LOAN00080,65,Female,Yes,2,Graduate,No,Business Owner,Good,Rural,Education,180,121941,18356,281017,Approved
LOAN00081,38,Female,Yes,0,Not Graduate,No,Salaried,Poor,Urban,Home,360,48483,11605,176226,Rejected
LOAN00082,44,Female,Yes,1,Not Graduate,No,Salaried,Poor,Urban,Vehicle,300,26777,15647,128835,Rejected
LOAN00083,46,Female,Yes,2,Graduate,Yes,Government,Average,Urban,Home,240,49294,8185,100636,Rejected
LOAN00084,45,Male,Yes,2,Graduate,No,Government,Good,Urban,Business,360,16910,16601,109783,Approved
LOAN00085,65,Female,Yes,1,Graduate,No,Government,Average,Urban,Home,360,28575,5137,134515,Approved
LOAN00086,61,Male,Yes,1,Graduate,No,Salaried,Poor,Rural,Home,360,17468,8948,62470,Rejected
LOAN00087,49,Male,Yes,0,Graduate,Yes,Freelancer,Good,Urban,Personal,360,46525,7198,125470,Approved
LOAN00088,35,Male,Yes,3+,Graduate,No,Business Owner,Good,Rural,Business,240,21061,89637,235559,Approved
LOAN00089,65,Male,Yes,0,Graduate,No,Salaried,Average,Urban,Home,360,31916,16176,139259,Approved
LOAN00090,21,Female,Yes,2,Not Graduate,No,Salaried,Good,Semiurban,Business,240,35601,5709,164496,Approved
LOAN00091,45,Female,Yes,0,Graduate,No,Salaried,Poor,Semiurban,Business,360,35846,4814,104947,Approved
LOAN00092,27,Female,Yes,3+,Graduate,No,Salaried,Good,Semiurban,Education,240,29355,3838,91707,Approved
LOAN00093,29,Male,No,2,Graduate,No,Unemployed,Average,Semiurban,Education,240,42257,5530,122628,Rejected
LOAN00094,44,Male,Yes,2,Not Graduate,Yes,Salaried,Average,Rural,Personal,360,20653,6573,86061,Rejected
LOAN00095,21,Male,No,0,Graduate,No,Salaried,Good,Urban,Home,180,79434,2952,167075,Approved
LOAN00096,64,Male,No,0,Graduate,Yes,Business Owner,Average,Semiurban,Education,180,22804,2980,71797,Rejected
LOAN00097,28,Male,No,1,Not Graduate,No,Salaried,Good,Rural,Home,240,36970,2145,138874,Approved
LOAN00098,44,Male,No,2,Graduate,No,Business Owner,Good,Urban,Vehicle,360,48109,3899,216419,Approved
LOAN00099,31,Male,Yes,0,Graduate,No,Salaried,Good,Urban,Personal,360,49376,16777,125749,Approved
LOAN00100,37,Female,Yes,3+,Graduate,No,Government,Good,Urban,Personal,360,51478,5773,263050,Approved
LOAN00101,28,Female,No,3+,Not Graduate,No,Salaried,Average,Semiurban,Vehicle,360,17734,5257,45005,Rejected
LOAN00102,55,Female,Yes,0,Graduate,No,Business Owner,Poor,Urban,Medical,300,24033,6230,99874,Rejected
LOAN00103,55,Female,Yes,2,Graduate,No,Freelancer,Good,Urban,Vehicle,120,38605,14266,90222,Approved
LOAN00104,53,Female,No,1,Graduate,No,Government,Good,Semiurban,Vehicle,180,45095,3921,136714,Approved
LOAN00105,25,Male,No,1,Not Graduate,No,Government,Good,Semiurban,Medical,360,63940,4393,145699,Approved
LOAN00106,62,Female,No,0,Graduate,Yes,Business Owner,Average,Urban,Home,240,28816,2466,85180,Approved
LOAN00107,59,Female,No,1,Graduate,No,Salaried,Poor,Urban,Business,180,24167,1685,113234,Rejected
LOAN00108,61,Male,No,2,Not Graduate,No,Business Owner,Good,Semiurban,Vehicle,300,28394,2020,85470,Approved
LOAN00109,48,Male,Yes,0,Graduate,No,Freelancer,Good,Rural,Personal,360,100383,9841,306238,Approved
LOAN00110,27,Female,No,1,Not Graduate,No,Government,Good,Semiurban,Personal,240,71339,2168,292767,Approved
LOAN00111,29,Male,Yes,2,Not Graduate,Yes,Salaried,Good,Rural,Personal,360,33649,10541,155847,Approved
LOAN00112,28,Female,Yes,2,Not Graduate,No,Salaried,Average,Urban,Personal,360,64742,10053,164390,Rejected
LOAN00113,32,Female,No,0,Graduate,Yes,Government,Good,Urban,Business,360,28068,5300,159400,Approved
LOAN00114,54,Male,Yes,2,Graduate,No,Salaried,Average,Semiurban,Home,360,55800,9304,176992,Rejected
LOAN00115,53,Male,Yes,1,Not Graduate,No,Salaried,Average,Rural,Home,240,19526,4369,91840,Rejected
LOAN00116,43,Male,Yes,0,Not Graduate,No,Salaried,Average,Semiurban,Business,360,42635,22440,196294,Rejected
LOAN00117,44,Male,No,0,Graduate,No,Business Owner,Average,Rural,Education,360,57455,3564,165308,Rejected
LOAN00118,57,Male,Yes,1,Not Graduate,Yes,Unemployed,Poor,Rural,Education,360,31351,19197,161965,Rejected
LOAN00119,55,Female,No,3+,Graduate,No,Business Owner,Poor,Urban,Education,360,47860,1684,148279,Rejected
LOAN00120,64,Male,Yes,0,Graduate,No,Salaried,Good,Urban,Personal,240,28206,7503,132925,Approved
LOAN00121,60,Male,No,2,Graduate,No,Salaried,Good,Urban,Education,360,41631,4694,147526,Approved
LOAN00122,42,Male,No,0,Not Graduate,No,Salaried,Good,Urban,Personal,120,29240,4273,128846,Approved
LOAN00123,47,Female,Yes,1,Graduate,No,Business Owner,Average,Urban,Personal,360,52502,21633,197881,Rejected
LOAN00124,55,Male,Yes,3+,Graduate,Yes,Business Owner,Good,Rural,Education,360,20559,2621,84699,Approved
LOAN00125,21,Male,Yes,2,Not Graduate,No,Salaried,Good,Urban,Education,360,22998,8340,130583,Approved
LOAN00126,55,Female,No,0,Graduate,No,Freelancer,Good,Urban,Vehicle,360,65354,8081,274506,Approved
LOAN00127,57,Female,No,1,Graduate,No,Freelancer,Average,Urban,Vehicle,180,12007,4441,83053,Rejected
LOAN00128,34,Male,No,0,Graduate,No,Salaried,Good,Rural,Home,120,27216,6475,59492,Approved
LOAN00129,23,Female,Yes,0,Graduate,No,Salaried,Good,Semiurban,Home,360,34066,15346,114700,Approved
LOAN00130,21,Male,No,2,Graduate,No,Unemployed,Good,Rural,Home,240,42568,2483,175722,Approved
LOAN00131,25,Male,No,2,Not Graduate,No,Salaried,Average,Rural,Home,240,29290,7456,114796,Approved
LOAN00132,46,Male,No,0,Graduate,No,Freelancer,Good,Semiurban,Home,360,21882,4380,104739,Approved
LOAN00133,34,Male,No,3+,Not Graduate,No,Business Owner,Good,Urban,Home,240,63059,4530,160383,Approved
LOAN00134,59,Female,Yes,1,Graduate,No,Government,Average,Urban,Business,360,58335,9027,272645,Rejected
LOAN00135,47,Male,Yes,0,Graduate,No,Freelancer,Good,Urban,Medical,300,30617,11685,127118,Rejected
LOAN00136,29,Male,No,1,Graduate,No,Freelancer,Good,Semiurban,Vehicle,360,16223,4918,75509,Approved
LOAN00137,35,Female,No,1,Graduate,No,Government,Good,Urban,Personal,360,41680,3259,70311,Approved
LOAN00138,35,Female,Yes,1,Graduate,No,Government,Good,Urban,Vehicle,180,39411,3357,176893,Approved
LOAN00139,46,Male,Yes,1,Graduate,No,Business Owner,Average,Semiurban,Vehicle,240,26898,14766,107857,Rejected
LOAN00140,62,Female,Yes,1,Graduate,No,Salaried,Good,Semiurban,Education,240,15066,8427,70224,Approved
LOAN00141,33,Male,Yes,0,Graduate,No,Salaried,Good,Semiurban,Home,360,32138,6820,120423,Approved
LOAN00142,52,Female,Yes,2,Graduate,No,Freelancer,Average,Urban,Personal,240,51275,17086,217875,Approved
LOAN00143,59,Female,No,1,Graduate,No,Freelancer,Average,Rural,Personal,240,54870,12063,221518,Rejected
LOAN00144,52,Female,No,0,Not Graduate,No,Salaried,Good,Semiurban,Education,360,35601,7684,194904,Approved
LOAN00145,24,Male,Yes,2,Graduate,Yes,Salaried,Good,Urban,Home,240,27431,6722,86819,Approved
LOAN00146,50,Male,Yes,3+,Graduate,No,Freelancer,Average,Rural,Vehicle,360,50539,16332,200841,Rejected
LOAN00147,57,Male,Yes,3+,Not Graduate,No,Salaried,Average,Rural,Home,360,21771,9381,124850,Rejected
LOAN00148,43,Male,Yes,0,Not Graduate,No,Business Owner,Good,Urban,Home,300,19739,21540,173476,Approved
LOAN00149,59,Male,No,0,Graduate,No,Freelancer,Average,Urban,Personal,360,34898,5065,98253,Approved
LOAN00150,65,Female,No,1,Graduate,No,Business Owner,Good,Semiurban,Business,120,72831,5601,195506,Approved
LOAN00151,35,Male,Yes,0,Graduate,No,Salaried,Good,Urban,Vehicle,360,74071,9459,223521,Approved
LOAN00152,63,Male,No,3+,Graduate,No,Salaried,Good,Rural,Personal,360,20070,3252,79168,Approved
LOAN00153,49,Female,No,0,Not Graduate,Yes,Salaried,Good,Urban,Business,240,29829,2280,123691,Approved
LOAN00154,56,Male,No,0,Not Graduate,Yes,Salaried,Good,Rural,Business,180,108581,5353,324322,Approved
LOAN00155,33,Female,Yes,0,Graduate,No,Business Owner,Good,Semiurban,Home,360,26641,12894,129533,Approved
LOAN00156,52,Male,No,0,Not Graduate,No,Business Owner,Good,Semiurban,Home,240,75273,1078,156612,Approved
LOAN00157,27,Male,Yes,2,Graduate,No,Salaried,Good,Urban,Vehicle,360,56343,7980,152640,Approved
LOAN00158,42,Male,Yes,1,Graduate,No,Salaried,Good,Urban,Education,120,62062,22643,222910,Approved
LOAN00159,48,Male,Yes,0,Not Graduate,No,Salaried,Good,Urban,Home,240,29714,3939,96529,Approved
LOAN00160,22,Female,Yes,0,Graduate,No,Unemployed,Average,Urban,Home,360,30112,6616,86060,Approved
LOAN00161,62,Male,Yes,1,Not Graduate,No,Business Owner,Good,Urban,Education,240,24106,37382,171703,Approved
LOAN00162,65,Female,Yes,0,Not Graduate,Yes,Government,Average,Rural,Education,360,52025,5511,230552,Rejected
LOAN00163,26,Male,Yes,1,Graduate,Yes,Government,Good,Urban,Business,180,17389,23174,56419,Approved
LOAN00164,48,Male,No,1,Graduate,Yes,Business Owner,Good,Rural,Education,240,33741,3511,124016,Approved
LOAN00165,48,Female,No,2,Graduate,No,Freelancer,Good,Semiurban,Home,360,75774,2479,221072,Approved
LOAN00166,64,Male,Yes,3+,Graduate,No,Salaried,Poor,Rural,Business,360,47455,19171,233524,Approved
LOAN00167,64,Female,No,3+,Graduate,No,Freelancer,Good,Rural,Personal,360,57022,10091,175789,Approved
LOAN00168,40,Female,No,3+,Graduate,No,Salaried,Good,Urban,Home,360,17330,3297,43308,Approved
LOAN00169,50,Female,No,0,Not Graduate,No,Government,Good,Rural,Vehicle,360,23218,3694,96738,Approved
LOAN00170,31,Female,Yes,0,Graduate,Yes,Salaried,Poor,Semiurban,Business,360,61875,11918,209509,Rejected
LOAN00171,48,Male,No,0,Graduate,No,Government,Poor,Rural,Vehicle,60,38430,14818,155442,Rejected
LOAN00172,45,Male,No,3+,Graduate,No,Salaried,Good,Semiurban,Home,360,22746,3435,93566,Approved
LOAN00173,59,Male,No,3+,Not Graduate,No,Government,Good,Semiurban,Personal,180,48140,3981,232630,Approved
LOAN00174,53,Female,Yes,2,Graduate,No,Salaried,Good,Urban,Business,120,28564,9908,131378,Approved
LOAN00175,21,Female,Yes,0,Graduate,No,Freelancer,Good,Urban,Personal,120,113766,3559,368443,Approved
LOAN00176,47,Male,No,3+,Not Graduate,No,Business Owner,Good,Semiurban,Home,240,47551,2249,73234,Approved
LOAN00177,33,Female,Yes,0,Graduate,No,Salaried,Average,Rural,Vehicle,360,23976,11954,98988,Rejected
LOAN00178,61,Male,Yes,0,Graduate,No,Business Owner,Average,Semiurban,Vehicle,240,53985,7186,192664,Approved
LOAN00179,23,Female,Yes,0,Not Graduate,Yes,Government,Good,Urban,Education,60,75105,13352,222624,Approved
LOAN00180,59,Male,No,0,Graduate,No,Salaried,Good,Rural,Education,300,36218,5897,157187,Approved
LOAN00181,26,Female,No,1,Not Graduate,No,Government,Good,Rural,Business,240,25705,2863,112579,Approved
LOAN00182,28,Female,Yes,0,Graduate,No,Business Owner,Good,Urban,Home,360,37047,25143,206111,Approved
LOAN00183,47,Male,No,1,Graduate,No,Government,Good,Urban,Vehicle,240,27563,2674,93751,Approved
LOAN00184,29,Male,Yes,1,Not Graduate,No,Salaried,Good,Urban,Home,180,32330,8166,124085,Approved
LOAN00185,57,Male,No,2,Graduate,No,Business Owner,Good,Rural,Home,240,19439,4339,99359,Approved
LOAN00186,53,Male,No,1,Not Graduate,No,Government,Good,Rural,Business,240,53844,8871,207214,Approved
LOAN00187,62,Male,No,0,Not Graduate,No,Salaried,Average,Urban,Home,360,21651,6329,95420,Rejected
LOAN00188,64,Female,No,2,Not Graduate,No,Business Owner,Good,Urban,Medical,300,47747,2595,140058,Approved
LOAN00189,44,Female,Yes,3+,Not Graduate,No,Salaried,Good,Rural,Personal,240,31671,15304,146107,Approved
LOAN00190,35,Female,No,0,Graduate,No,Salaried,Good,Rural,Business,240,40147,3112,180531,Approved
LOAN00191,52,Male,Yes,1,Graduate,No,Business Owner,Good,Rural,Personal,240,29330,6248,107325,Approved
LOAN00192,52,Female,No,0,Graduate,Yes,Freelancer,Poor,Semiurban,Personal,360,39668,5918,158884,Rejected
LOAN00193,44,Female,No,0,Graduate,Yes,Business Owner,Average,Urban,Home,180,44121,4609,132652,Approved
LOAN00194,61,Male,No,1,Not Graduate,No,Salaried,Good,Semiurban,Personal,360,31011,1742,136159,Approved
LOAN00195,32,Female,Yes,2,Graduate,No,Salaried,Average,Urban,Home,360,16676,5248,99636,Approved
LOAN00196,59,Female,No,0,Graduate,No,Salaried,Good,Rural,Education,60,42263,6780,111222,Approved
LOAN00197,22,Male,Yes,2,Graduate,No,Business Owner,Poor,Urban,Business,360,43298,18722,194328,Rejected
LOAN00198,23,Male,Yes,2,Graduate,No,Government,Good,Rural,Vehicle,360,19058,20511,130458,Approved
LOAN00199,57,Male,No,3+,Not Graduate,No,Government,Good,Urban,Home,360,23354,14643,128902,Approved
LOAN00200,37,Male,Yes,0,Graduate,Yes,Salaried,Good,Rural,Home,240,31054,21098,130794,Approved
LOAN00201,22,Female,No,3+,Graduate,No,Government,Average,Urban,Business,360,12930,3708,62298,Approved
LOAN00202,22,Female,Yes,0,Not Graduate,No,Business Owner,Good,Semiurban,Education,240,49939,16305,211335,Approved
LOAN00203,48,Female,Yes,1,Graduate,Yes,Freelancer,Average,Semiurban,Vehicle,120,29145,20573,117013,Approved
LOAN00204,43,Male,No,0,Graduate,No,Salaried,Good,Urban,Business,360,41351,2917,205373,Approved
LOAN00205,57,Male,Yes,0,Graduate,No,Freelancer,Poor,Rural,Home,360,22516,12287,129781,Rejected
LOAN00206,52,Female,Yes,2,Graduate,No,Salaried,Good,Semiurban,Home,180,90027,10132,260428,Approved
LOAN00207,53,Female,No,0,Graduate,No,Salaried,Poor,Semiurban,Business,360,19163,6377,84330,Rejected
LOAN00208,21,Male,Yes,0,Not Graduate,No,Salaried,Good,Rural,Education,360,29018,13298,80230,Approved
LOAN00209,39,Male,Yes,0,Graduate,No,Salaried,Good,Rural,Home,180,62292,7124,216804,Approved
LOAN00210,22,Female,Yes,1,Not Graduate,No,Salaried,Poor,Semiurban,Home,240,21650,20552,119717,Rejected
LOAN00211,64,Male,No,0,Not Graduate,No,Salaried,Poor,Rural,Home,240,37834,371,151015,Rejected
LOAN00212,46,Male,No,2,Graduate,No,Salaried,Average,Urban,Home,360,48150,13263,152466,Approved
LOAN00213,52,Female,No,0,Graduate,No,Freelancer,Good,Urban,Business,360,18437,1577,64905,Approved
LOAN00214,26,Male,Yes,0,Graduate,No,Salaried,Good,Semiurban,Vehicle,120,26879,3890,123076,Approved
LOAN00215,52,Male,No,0,Graduate,Yes,Business Owner,Good,Urban,Business,360,39560,3268,117601,Approved
LOAN00216,24,Male,No,1,Not Graduate,No,Salaried,Good,Semiurban,Personal,360,44533,3906,82644,Approved
LOAN00217,31,Male,No,0,Graduate,No,Government,Good,Urban,Home,360,25084,4053,72613,Approved
LOAN00218,37,Female,Yes,0,Graduate,No,Government,Good,Semiurban,Education,180,83138,11060,211870,Approved
LOAN00219,58,Male,No,3+,Graduate,No,Salaried,Average,Rural,Business,300,45090,5383,75442,Approved
LOAN00220,44,Male,No,1,Graduate,No,Business Owner,Average,Semiurban,Business,360,51508,2793,124706,Approved
LOAN00221,25,Female,Yes,0,Graduate,No,Salaried,Good,Rural,Vehicle,240,50166,15406,169235,Approved
LOAN00222,54,Female,Yes,0,Graduate,No,Government,Good,Rural,Vehicle,240,17971,15825,62392,Approved
LOAN00223,26,Female,No,3+,Graduate,No,Business Owner,Good,Urban,Business,360,34488,2505,99788,Approved
LOAN00224,42,Male,Yes,0,Graduate,No,Salaried,Average,Urban,Home,120,36051,6042,182887,Rejected
LOAN00225,31,Male,No,0,Graduate,No,Salaried,Good,Urban,Vehicle,360,32388,1751,140063,Approved
LOAN00226,36,Female,No,2,Not Graduate,No,Salaried,Good,Rural,Vehicle,240,39869,1856,117478,Approved
LOAN00227,53,Female,No,1,Graduate,Yes,Salaried,Good,Urban,Medical,60,14069,5537,87674,Approved
LOAN00228,29,Male,Yes,1,Graduate,No,Freelancer,Good,Urban,Vehicle,180,38470,15840,153836,Approved
LOAN00229,26,Male,Yes,0,Graduate,No,Business Owner,Average,Rural,Vehicle,120,31682,13883,120011,Approved
LOAN00230,36,Male,No,0,Graduate,No,Salaried,Average,Semiurban,Business,120,14014,3452,59896,Approved
LOAN00231,49,Female,Yes,1,Not Graduate,Yes,Salaried,Good,Urban,Personal,360,43918,8931,141763,Approved
LOAN00232,23,Female,No,0,Graduate,No,Salaried,Good,Urban,Medical,180,21343,5767,105951,Approved
LOAN00233,40,Male,Yes,1,Graduate,No,Salaried,Poor,Rural,Vehicle,360,30600,10903,137381,Approved
LOAN00234,56,Male,Yes,1,Not Graduate,No,Government,Good,Rural,Business,300,32387,13700,164728,Approved
LOAN00235,39,Female,Yes,0,Not Graduate,Yes,Salaried,Average,Urban,Home,300,15823,23290,64208,Rejected
LOAN00236,46,Female,Yes,3+,Graduate,No,Business Owner,Average,Semiurban,Vehicle,240,16640,10884,79371,Approved
LOAN00237,23,Male,No,2,Graduate,No,Salaried,Average,Rural,Vehicle,360,46417,3966,174565,Approved
LOAN00238,39,Female,Yes,2,Graduate,No,Salaried,Good,Rural,Vehicle,300,27675,11708,143509,Approved
LOAN00239,40,Female,Yes,0,Graduate,No,Business Owner,Good,Rural,Home,180,30430,7824,96945,Approved
LOAN00240,52,Male,Yes,0,Not Graduate,No,Business Owner,Poor,Semiurban,Business,360,37526,4746,206228,Rejected
LOAN00241,27,Female,Yes,1,Graduate,Yes,Salaried,Good,Rural,Home,240,16462,17709,67316,Approved
